tm,weekday,total,hot_milmyeon,milmyeon_with_mandu,milmyeon_only,delivery,side_menu,drinks_alcohol,product_sales,kalguksu,takeaway,avgTa,avgWs,maxTa,minTa,avgRhm,avgTs,sumGsr,sumSsHr,avgTca,sumRn,avgPa,month,diurnal_range,rain_bool,feel_temp,MainMenu,SubMenu,NumOfRows,Order
2020-01-02,목,120500,0,120500,0,0,0,0,0,0,0,4.1,2.8,9.6,0.5,53.1,2.9,11.17,9.1,0.4,0.0,1018.8,1,9.1,0,3.65,120500,0,1,1
2020-01-03,금,111000,0,111000,0,0,0,0,0,0,0,5.9,3.0,11.6,2.3,43.0,3.2,12.09,9.2,0.1,0.0,1015.5,1,9.3,0,4.81,111000,0,2,2
2020-01-04,토,194000,0,176000,0,0,0,0,0,18000,0,5.5,2.9,9.7,2.0,34.8,3.3,10.85,8.4,2.5,0.0,1015.3,1,7.699999999999999,0,4.57,194000,0,3,3
2020-01-05,일,425000,0,322000,0,0,0,0,0,103000,0,7.4,1.3,13.5,2.6,51.1,3.6,11.9,9.2,1.0,0.9,1020.6,1,10.9,1,6.57,425000,0,4,4
2020-01-07,화,111000,0,20000,0,0,0,0,0,91000,0,14.4,6.1,17.7,9.0,96.6,12.1,0.7,0.0,10.0,26.3,1003.8,1,8.7,1,10.59,111000,0,5,5
2020-01-08,수,254500,0,208500,0,0,0,0,0,46000,0,8.8,6.4,15.0,4.9,63.5,8.9,12.12,9.0,4.1,0.0,1003.8,1,10.1,0,6.88,254500,0,6,6
2020-01-09,목,153000,0,118000,0,0,0,0,0,35000,0,5.3,2.6,9.8,2.3,48.0,5.1,10.61,7.6,4.5,0.0,1012.2,1,7.500000000000001,0,4.51,153000,0,7,7
2020-01-10,금,67000,0,44000,0,0,0,0,0,23000,0,5.9,1.8,12.3,0.9,40.5,3.7,11.99,9.2,1.6,0.0,1012.8,1,11.4,0,5.24,67000,0,8,8
2020-01-11,토,258000,0,182000,0,0,0,0,0,76000,0,5.9,3.3,10.5,1.9,39.5,4.2,12.5,9.1,3.6,0.0,1008.7,1,8.6,0,4.76,258000,0,9,9
2020-01-12,일,315500,0,244500,0,0,0,0,0,71000,0,4.6,4.4,8.8,2.0,45.4,4.2,12.84,9.0,2.9,0.0,1006.6,1,6.800000000000001,0,3.79,315500,0,10,10
2020-01-14,화,176000,0,116000,0,0,0,0,0,60000,0,2.1,2.4,5.5,-0.3,39.8,2.6,5.87,1.6,6.1,0.0,1015.0,1,5.8,0,2.42,176000,0,11,11
2020-01-15,수,136500,0,81500,0,0,0,0,0,55000,0,2.4,2.7,7.0,-0.4,39.6,1.8,13.32,9.3,0.3,0.0,1017.2,1,7.4,0,2.51,136500,0,12,12
2020-01-16,목,207000,0,111000,0,0,0,0,0,96000,0,3.8,2.2,9.5,-0.3,31.1,2.8,10.67,6.1,7.5,0.0,1015.7,1,9.8,0,3.66,207000,0,13,13
2020-01-17,금,85500,0,85500,0,0,0,0,0,0,0,6.4,1.7,11.8,3.2,39.6,5.1,8.72,6.8,7.3,2.6,1011.6,1,8.600000000000001,1,5.63,85500,0,14,14
2020-01-18,토,226000,0,136000,0,0,0,0,0,90000,0,5.3,3.2,9.8,1.4,60.9,5.7,7.32,3.2,8.0,2.6,1009.8,1,8.4,1,4.38,226000,0,15,15
2020-01-19,일,280500,0,192500,0,0,0,0,5000,83000,0,4.9,3.9,9.4,2.1,40.9,3.7,8.89,4.6,3.5,0.0,1009.8,1,7.300000000000001,0,4.02,275500,5000,16,16
2020-01-21,화,164000,0,116000,0,0,0,0,0,48000,0,5.0,2.2,10.3,0.1,47.5,2.7,14.0,9.8,1.6,0.0,1019.9,1,10.2,0,4.46,164000,0,17,17
2020-01-22,수,195000,0,158000,0,0,0,0,0,37000,0,7.7,1.8,9.3,4.8,82.3,6.4,1.52,0.0,9.9,9.6,1015.4,1,4.500000000000001,1,6.4,195000,0,18,18
2020-02-24,월,166500,0,166500,0,0,0,0,0,0,0,10.8,4.3,15.7,5.5,46.9,12.3,16.7,7.8,5.0,0.0,1015.3,2,10.2,0,7.97,166500,0,19,19
2020-02-27,목,84500,0,84500,0,0,0,0,0,0,0,6.8,3.0,10.7,4.7,66.4,8.8,10.89,2.6,7.3,1.5,1019.4,2,5.999999999999999,1,5.41,84500,0,20,20
2020-03-03,화,260000,0,206500,0,53500,0,0,0,0,0,8.7,2.9,12.6,5.6,63.9,9.0,11.58,3.7,7.5,0.0,1015.5,3,7.0,0,6.67,206500,53500,21,21
2020-03-04,수,193000,0,193000,0,0,0,0,0,0,0,7.9,3.6,13.0,1.7,43.1,11.1,18.55,8.3,4.0,0.0,1010.6,3,11.3,0,6.06,193000,0,22,22
2020-03-05,목,173000,0,173000,0,0,0,0,0,0,0,5.1,3.6,11.5,-0.3,42.3,8.9,21.06,10.9,0.0,0.0,1014.5,3,11.8,0,4.19,173000,0,23,23
