menu,weather,corr,month
total,avgTa,0.21764349317363715,1
hot_milmyeon,avgTa,0.062187456936886605,1
milmyeon_with_mandu,avgTa,0.11506819481256188,1
milmyeon_only,avgTa,0.16567880142518815,1
delivery,avgTa,-0.26655786626398964,1
side_menu,avgTa,0.059904641573360735,1
drinks_alcohol,avgTa,0.20286261582538243,1
product_sales,avgTa,0.10397635225476588,1
kalguksu,avgTa,0.0066023124979008516,1
takeaway,avgTa,0.03648801289105741,1
total,avgWs,-0.14220383754483687,1
hot_milmyeon,avgWs,0.025751685469158785,1
milmyeon_with_mandu,avgWs,-0.17578473302456318,1
milmyeon_only,avgWs,-0.09577388548083611,1
delivery,avgWs,0.12976091185847466,1
side_menu,avgWs,-0.01274409575499026,1
drinks_alcohol,avgWs,0.04614939605856562,1
product_sales,avgWs,0.06622622848396123,1
kalguksu,avgWs,0.019400289870018714,1
takeaway,avgWs,0.02139437484079802,1
total,maxTa,0.227664811631286,1
hot_milmyeon,maxTa,0.0480644964610441,1
milmyeon_with_mandu,maxTa,0.1728539764891114,1
milmyeon_only,maxTa,0.16439550321689395,1
delivery,maxTa,-0.25693685074159794,1
side_menu,maxTa,0.048796805584334704,1
drinks_alcohol,maxTa,0.17396903158067067,1
product_sales,maxTa,0.08626575157755072,1
kalguksu,maxTa,-0.0348258601816064,1
takeaway,maxTa,0.006775471873407546,1
total,minTa,0.1795061451451483,1
hot_milmyeon,minTa,0.06473086411083735,1
milmyeon_with_mandu,minTa,0.10905390632903902,1
milmyeon_only,minTa,0.14007690601089104,1
delivery,minTa,-0.23979529128289992,1
side_menu,minTa,0.0311152452212831,1
drinks_alcohol,minTa,0.18756005778301862,1
product_sales,minTa,0.1542899517825921,1
kalguksu,minTa,-0.00582354671686835,1
takeaway,minTa,-0.004528675585737523,1
total,avgRhm,0.07456343960682188,1
hot_milmyeon,avgRhm,0.07424600136040262,1
milmyeon_with_mandu,avgRhm,-0.14779557702528398,1
milmyeon_only,avgRhm,0.12468814716789835,1
delivery,avgRhm,-0.11115916818701439,1
side_menu,avgRhm,0.02610300274031945,1
drinks_alcohol,avgRhm,0.21294876855083672,1
product_sales,avgRhm,0.08057999583254491,1
kalguksu,avgRhm,0.13323096652608826,1
takeaway,avgRhm,0.11244961410226055,1
total,avgTs,0.323257335725624,1
hot_milmyeon,avgTs,0.3615386182428649,1
milmyeon_with_mandu,avgTs,-0.08391228804409206,1
milmyeon_only,avgTs,0.3618367222947809,1
delivery,avgTs,-0.15788613945507846,1
side_menu,avgTs,0.25902936733471166,1
drinks_alcohol,avgTs,0.2874954535278065,1
product_sales,avgTs,0.13134305082898662,1
kalguksu,avgTs,-0.08249483037550781,1
takeaway,avgTs,0.06486485864218682,1
total,sumGsr,0.048862998525091496,1
hot_milmyeon,sumGsr,0.04809654099123387,1
milmyeon_with_mandu,sumGsr,0.12181096905754574,1
milmyeon_only,sumGsr,0.012592430592913453,1
delivery,sumGsr,0.026572380575480666,1
side_menu,sumGsr,0.05273576219339691,1
drinks_alcohol,sumGsr,-0.10248767960805598,1
product_sales,sumGsr,-0.14139816115567014,1
kalguksu,sumGsr,-0.17075012548348256,1
takeaway,sumGsr,-0.0617371182461892,1
total,sumSsHr,0.03478489628201903,1
hot_milmyeon,sumSsHr,0.05202182489022681,1
milmyeon_with_mandu,sumSsHr,0.08804070968701765,1
milmyeon_only,sumSsHr,0.03762597940982442,1
delivery,sumSsHr,0.003025097590228872,1
side_menu,sumSsHr,0.08155492560871787,1
drinks_alcohol,sumSsHr,-0.04460814851944251,1
product_sales,sumSsHr,-0.18548265316789647,1
kalguksu,sumSsHr,-0.1518741584897577,1
takeaway,sumSsHr,-0.0812034855757367,1
total,avgTca,-0.05317417648310742,1
hot_milmyeon,avgTca,-0.132893045566294,1
milmyeon_with_mandu,avgTca,-0.02972454062789748,1
milmyeon_only,avgTca,-0.08208219760307109,1
delivery,avgTca,0.0271203078924544,1
side_menu,avgTca,-0.12824591744406394,1
drinks_alcohol,avgTca,0.0006770752209457382,1
product_sales,avgTca,0.19203260714312947,1
kalguksu,avgTca,0.17360215371095575,1
takeaway,avgTca,0.07455720812517684,1
total,sumRn,-0.11855060683393195,1
hot_milmyeon,sumRn,-0.06587995679070224,1
milmyeon_with_mandu,sumRn,-0.14730956848727375,1
milmyeon_only,sumRn,-0.05109381779886899,1
delivery,sumRn,-0.024330608458350125,1
side_menu,sumRn,-0.06666014800942711,1
drinks_alcohol,sumRn,0.04852765752359929,1
product_sales,sumRn,-0.06961546675633183,1
kalguksu,sumRn,0.07341090859640681,1
takeaway,sumRn,0.07782952015244142,1
total,avgPa,0.0952863704769428,1
hot_milmyeon,avgPa,0.0871170992070974,1
milmyeon_with_mandu,avgPa,0.038289535944243405,1
milmyeon_only,avgPa,0.04036428726520006,1
delivery,avgPa,0.03570687586316195,1
side_menu,avgPa,0.08147048829825852,1
drinks_alcohol,avgPa,-0.01120973644503861,1
product_sales,avgPa,0.02320240049765551,1
kalguksu,avgPa,-0.03625869068727533,1
takeaway,avgPa,0.013759783561605328,1
total,diurnal_range,0.030831135216869247,1
hot_milmyeon,diurnal_range,-0.04355885019344105,1
milmyeon_with_mandu,diurnal_range,0.07422665803218315,1
milmyeon_only,diurnal_range,0.0027525477619669073,1
delivery,diurnal_range,0.03463196388635011,1
side_menu,diurnal_range,0.020339910372858882,1
drinks_alcohol,diurnal_range,-0.07046384493867049,1
product_sales,diurnal_range,-0.14929008512726266,1
kalguksu,diurnal_range,-0.04508515291420227,1
takeaway,diurnal_range,0.019335351428786535,1
total,rain_bool,-0.031202945331876824,1
hot_milmyeon,rain_bool,-0.014109833516399916,1
milmyeon_with_mandu,rain_bool,-0.15536865486192838,1
milmyeon_only,rain_bool,0.011526851180611893,1
delivery,rain_bool,-0.04977172590383938,1
side_menu,rain_bool,-0.11073870717446696,1
drinks_alcohol,rain_bool,0.13806922259003035,1
product_sales,rain_bool,-0.0911122586483331,1
kalguksu,rain_bool,0.19046113572962015,1
takeaway,rain_bool,0.12285014829799461,1
total,feel_temp,0.06890731000394568,1
hot_milmyeon,feel_temp,-0.003255082423796323,1
milmyeon_with_mandu,feel_temp,-0.014371834433535244,1
milmyeon_only,feel_temp,0.04608795912364347,1
delivery,feel_temp,-0.07103137802026044,1
side_menu,feel_temp,-0.04294745741698191,1
drinks_alcohol,feel_temp,0.17609294281117682,1
product_sales,feel_temp,0.043204441307282564,1
kalguksu,feel_temp,0.03217088536462144,1
takeaway,feel_temp,0.11246765096487091,1
total,avgTa,0.3623122740759305,2
hot_milmyeon,avgTa,0.21092514667804424,2
milmyeon_with_mandu,avgTa,0.27171020553733355,2
milmyeon_only,avgTa,0.2043435518368203,2
delivery,avgTa,-0.036179365236122245,2
side_menu,avgTa,0.14780138896767464,2
drinks_alcohol,avgTa,0.00820030711581975,2
product_sales,avgTa,-0.03938369876379138,2
kalguksu,avgTa,0.006693629056781167,2
takeaway,avgTa,0.09429757065629289,2
total,avgWs,-0.08558699803228981,2
hot_milmyeon,avgWs,-0.07692392913680035,2
milmyeon_with_mandu,avgWs,-0.08342962834407694,2
milmyeon_only,avgWs,-0.022260739292425183,2
delivery,avgWs,0.1521186556965715,2
side_menu,avgWs,-0.04055744173387341,2
drinks_alcohol,avgWs,0.003163605551781301,2
product_sales,avgWs,-0.016643793773821268,2
kalguksu,avgWs,0.06827772709466845,2
takeaway,avgWs,-0.0041454516354204295,2
total,maxTa,0.4448971626083317,2
hot_milmyeon,maxTa,0.21279705293263482,2
milmyeon_with_mandu,maxTa,0.35088233392561025,2
milmyeon_only,maxTa,0.2640846895116678,2
delivery,maxTa,-0.03805417675504278,2
side_menu,maxTa,0.18295057753814584,2
drinks_alcohol,maxTa,0.05409145629428556,2
product_sales,maxTa,-0.08794892219717368,2
kalguksu,maxTa,0.021553890340666414,2
takeaway,maxTa,0.11127518576224073,2
total,minTa,0.25205816403988873,2
hot_milmyeon,minTa,0.17243774519565308,2
milmyeon_with_mandu,minTa,0.18557309996044244,2
milmyeon_only,minTa,0.14082098521383718,2
delivery,minTa,-0.02431065785908206,2
side_menu,minTa,0.1151404315145938,2
drinks_alcohol,minTa,-0.03887493973206789,2
product_sales,minTa,-0.059121307336183676,2
kalguksu,minTa,-0.03820460314696838,2
takeaway,minTa,0.048805634976586,2
total,avgRhm,0.08659475837495494,2
hot_milmyeon,avgRhm,0.23211529658151675,2
milmyeon_with_mandu,avgRhm,-0.04513749458487335,2
milmyeon_only,avgRhm,0.1375622459972811,2
delivery,avgRhm,-0.09784507293419825,2
side_menu,avgRhm,0.18918188211788114,2
drinks_alcohol,avgRhm,0.15056225993886244,2
product_sales,avgRhm,-0.02909894814396057,2
kalguksu,avgRhm,-0.22453911481154362,2
takeaway,avgRhm,-0.15855869345677975,2
total,avgTs,0.500074519823772,2
hot_milmyeon,avgTs,0.41941798562883753,2
milmyeon_with_mandu,avgTs,0.2447574460599601,2
milmyeon_only,avgTs,0.3832473059264438,2
delivery,avgTs,-0.051633462998014766,2
side_menu,avgTs,0.3517559040523114,2
drinks_alcohol,avgTs,0.14007766050042172,2
product_sales,avgTs,-0.12550951995393778,2
kalguksu,avgTs,-0.07186613820186039,2
takeaway,avgTs,0.02372042463707996,2
total,sumGsr,0.1912285121251769,2
hot_milmyeon,sumGsr,-0.0751005642574973,2
milmyeon_with_mandu,sumGsr,0.21993043194273112,2
milmyeon_only,sumGsr,0.1292454906110699,2
delivery,sumGsr,-0.0010094173553992609,2
side_menu,sumGsr,0.013365827530010232,2
drinks_alcohol,sumGsr,0.020218947790923855,2
product_sales,sumGsr,-0.08665042470209912,2
kalguksu,sumGsr,0.11704162447225419,2
takeaway,sumGsr,0.09445705668907102,2
total,sumSsHr,0.12114465400041265,2
hot_milmyeon,sumSsHr,-0.09723887959140863,2
milmyeon_with_mandu,sumSsHr,0.12321890728426772,2
milmyeon_only,sumSsHr,0.07389512421271596,2
delivery,sumSsHr,-0.010054098887622766,2
side_menu,sumSsHr,-0.04807133307016451,2
drinks_alcohol,sumSsHr,-0.03257069912253993,2
product_sales,sumSsHr,-0.03984743803244356,2
kalguksu,sumSsHr,0.19145801030056697,2
takeaway,sumSsHr,0.18631659173771933,2
total,avgTca,-0.10686744656527546,2
hot_milmyeon,avgTca,0.04177292196743618,2
milmyeon_with_mandu,avgTca,-0.022622548781154887,2
milmyeon_only,avgTca,-0.08885123434293499,2
delivery,avgTca,-0.04192922195256288,2
side_menu,avgTca,-0.0025428898331204116,2
drinks_alcohol,avgTca,-0.06212638225106551,2
product_sales,avgTca,0.07548770266389873,2
kalguksu,avgTca,-0.2465383324981865,2
takeaway,avgTca,-0.22675562932801097,2
total,sumRn,-0.07623223212756355,2
hot_milmyeon,sumRn,0.015574405768843145,2
milmyeon_with_mandu,sumRn,-0.11885310589103615,2
milmyeon_only,sumRn,0.027567732779566128,2
delivery,sumRn,-0.07159267645083064,2
side_menu,sumRn,-0.012061967042366223,2
drinks_alcohol,sumRn,0.07778113106840692,2
product_sales,sumRn,0.10631656130654107,2
kalguksu,sumRn,-0.10139463417484043,2
takeaway,sumRn,-0.08650625294285892,2
total,avgPa,0.025723069014254443,2
hot_milmyeon,avgPa,0.12272004146613084,2
milmyeon_with_mandu,avgPa,0.06594058585362111,2
milmyeon_only,avgPa,-0.030169965034057746,2
delivery,avgPa,0.036708448851758835,2
side_menu,avgPa,0.08358093092090076,2
drinks_alcohol,avgPa,-0.06960689643778781,2
product_sales,avgPa,-0.07127994077687133,2
kalguksu,avgPa,-0.12102605229762393,2
takeaway,avgPa,-0.17289231064366758,2
total,diurnal_range,0.2555598649423708,2
hot_milmyeon,diurnal_range,0.03669554122427903,2
milmyeon_with_mandu,diurnal_range,0.22335507788405096,2
milmyeon_only,diurnal_range,0.1662025438870425,2
delivery,diurnal_range,-0.017323224031604814,2
side_menu,diurnal_range,0.086146787720701,2
drinks_alcohol,diurnal_range,0.14570502024011314,2
product_sales,diurnal_range,-0.03519582089823061,2
kalguksu,diurnal_range,0.09551277964434712,2
takeaway,diurnal_range,0.0873960060758737,2
total,rain_bool,-0.07403860552086543,2
hot_milmyeon,rain_bool,0.06014964369353516,2
milmyeon_with_mandu,rain_bool,-0.13114543333409115,2
milmyeon_only,rain_bool,0.04893085437388329,2
delivery,rain_bool,-0.10314983613772008,2
side_menu,rain_bool,0.050423009072613136,2
drinks_alcohol,rain_bool,0.019476244281775024,2
product_sales,rain_bool,-0.0844687832487815,2
kalguksu,rain_bool,-0.14608812547414568,2
takeaway,rain_bool,-0.14934924264260246,2
total,feel_temp,0.3047873926117705,2
hot_milmyeon,feel_temp,0.18137743750177668,2
milmyeon_with_mandu,feel_temp,0.2560315339613353,2
